ID,Total
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_10_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_10_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_10_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_10_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_10_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_10_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_10_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_11_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_11_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_11_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_11_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_11_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_11_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_11_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_12_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_12_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_12_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_12_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_12_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_12_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_12_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_1_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_1_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_1_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_1_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_1_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_1_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_1_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_2_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_2_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_2_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_2_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_2_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_2_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_2_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_3_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_3_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_3_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_3_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_3_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_3_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_3_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_4_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_4_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_4_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_4_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_4_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_4_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_4_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_5_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_5_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_5_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_5_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_5_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_5_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_5_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_6_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_6_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_6_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_6_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_6_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_6_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_6_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_7_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_7_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_7_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_7_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_7_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_7_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_7_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_8_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_8_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_8_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_8_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_8_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_8_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_8_2023_Typhoid,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_9_2023_Cholera,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_9_2023_Diarrhea,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_9_2023_Dysentery,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_9_2023_Intestinal Worms,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_9_2023_Malaria,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_9_2023_Schistosomiasis,0
ID_00cd8292-dd85-4fa3-8148-9592e88a1651_9_2023_Typhoid,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_10_2023_Cholera,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_10_2023_Diarrhea,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_10_2023_Dysentery,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_10_2023_Intestinal Worms,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_10_2023_Malaria,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_10_2023_Schistosomiasis,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_10_2023_Typhoid,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_11_2023_Cholera,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_11_2023_Diarrhea,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_11_2023_Dysentery,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_11_2023_Intestinal Worms,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_11_2023_Malaria,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_11_2023_Schistosomiasis,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_11_2023_Typhoid,0
ID_02b8390e-f332-4ed5-9e24-9163f09ba478_12_2023_Cholera,0
